/Graph
Time (s),Data (Meters),Data0 (Meters),Data1 (Meters)
0.025,+3.278e-07,+1.000e+00,-2.000e+00
0.050,+3.278e-07,+1.000e+00,-2.000e+00
0.075,+3.278e-07,+1.000e+00,-2.000e+00
0.100,+3.278e-07,+1.000e+00,-2.000e+00
0.125,+3.278e-07,+1.000e+00,-2.000e+00
0.150,+3.278e-07,+1.000e+00,-2.000e+00
0.175,+3.278e-07,+1.000e+00,-2.000e+00
0.200,+3.278e-07,+1.000e+00,-2.000e+00
0.225,+3.278e-07,+1.000e+00,-2.000e+00
0.250,+3.278e-07,+1.000e+00,-2.000e+00
0.275,+3.278e-07,+1.000e+00,-2.000e+00
0.300,+3.278e-07,+1.000e+00,-2.000e+00
0.325,+3.278e-07,+1.000e+00,-2.000e+00
0.350,+3.278e-07,+1.000e+00,-2.000e+00
0.375,+3.278e-07,+1.000e+00,-2.000e+00
0.400,+3.278e-07,+1.000e+00,-2.000e+00
0.425,+3.278e-07,+1.000e+00,-2.000e+00
0.450,+3.278e-07,+1.000e+00,-2.000e+00
0.475,+3.278e-07,+1.000e+00,-2.000e+00
0.500,+3.278e-07,+1.000e+00,-2.000e+00
0.525,+3.278e-07,+1.000e+00,-2.000e+00
0.550,+3.278e-07,+1.000e+00,-2.000e+00
0.575,+3.278e-07,+1.000e+00,-2.000e+00
0.600,+3.278e-07,+1.000e+00,-2.000e+00
0.625,+3.278e-07,+1.000e+00,-2.000e+00
0.650,+3.278e-07,+1.000e+00,-2.000e+00
0.675,+3.278e-07,+1.000e+00,-2.000e+00
0.700,+3.278e-07,+1.000e+00,-2.000e+00
0.725,+3.278e-07,+1.000e+00,-2.000e+00
0.750,+3.278e-07,+1.000e+00,-2.000e+00
0.775,+3.278e-07,+1.000e+00,-2.000e+00
0.800,+3.278e-07,+1.000e+00,-2.000e+00
0.825,+3.278e-07,+1.000e+00,-2.000e+00
0.850,+3.278e-07,+1.000e+00,-2.000e+00
0.875,+3.278e-07,+1.000e+00,-2.000e+00
0.900,+3.278e-07,+1.000e+00,-2.000e+00
0.925,+3.278e-07,+1.000e+00,-2.000e+00
0.950,+3.278e-07,+1.000e+00,-2.000e+00
0.975,+3.278e-07,+1.000e+00,-2.000e+00
1.000,+3.278e-07,+1.000e+00,-2.000e+00
1.025,+3.278e-07,+1.000e+00,-2.000e+00
1.050,+3.278e-07,+1.000e+00,-2.000e+00
1.075,+3.278e-07,+1.000e+00,-2.000e+00
1.100,+3.278e-07,+1.000e+00,-2.000e+00
1.125,+3.278e-07,+1.000e+00,-2.000e+00
1.150,+3.278e-07,+1.000e+00,-2.000e+00
1.175,+3.278e-07,+1.000e+00,-2.000e+00
1.200,+3.278e-07,+1.000e+00,-2.000e+00
1.225,+3.278e-07,+1.000e+00,-2.000e+00
1.250,+3.278e-07,+1.000e+00,-2.000e+00
1.275,+3.278e-07,+1.000e+00,-2.000e+00
1.300,+3.278e-07,+1.000e+00,-2.000e+00
1.325,+3.278e-07,+1.000e+00,-2.000e+00
1.350,+3.278e-07,+1.000e+00,-2.000e+00
1.375,+3.278e-07,+1.000e+00,-2.000e+00
1.400,+3.278e-07,+1.000e+00,-2.000e+00
1.425,+3.278e-07,+1.000e+00,-2.000e+00
1.450,+3.278e-07,+1.000e+00,-2.000e+00
1.475,+3.278e-07,+1.000e+00,-2.000e+00
1.500,+3.278e-07,+1.000e+00,-2.000e+00
1.525,+3.278e-07,+1.000e+00,-2.000e+00
1.550,+3.278e-07,+1.000e+00,-2.000e+00
1.575,+3.278e-07,+1.000e+00,-2.000e+00
1.600,+3.278e-07,+1.000e+00,-2.000e+00
1.625,+3.278e-07,+1.000e+00,-2.000e+00
1.650,+3.278e-07,+1.000e+00,-2.000e+00
1.675,+3.278e-07,+1.000e+00,-2.000e+00
1.700,+3.278e-07,+1.000e+00,-2.000e+00
1.725,+3.278e-07,+1.000e+00,-2.000e+00
1.750,+3.278e-07,+1.000e+00,-2.000e+00
1.775,+3.278e-07,+1.000e+00,-2.000e+00
1.800,+3.278e-07,+1.000e+00,-2.000e+00
1.825,+3.278e-07,+1.000e+00,-2.000e+00
1.850,+3.278e-07,+1.000e+00,-2.000e+00
1.875,+3.278e-07,+1.000e+00,-2.000e+00
1.900,+3.278e-07,+1.000e+00,-2.000e+00
1.925,+3.278e-07,+1.000e+00,-2.000e+00
1.950,+3.278e-07,+1.000e+00,-2.000e+00
1.975,+3.278e-07,+1.000e+00,-2.000e+00
2.000,+3.278e-07,+1.000e+00,-2.000e+00
2.025,+3.278e-07,+1.000e+00,-2.000e+00
2.050,+3.278e-07,+1.000e+00,-2.000e+00
2.075,+3.278e-07,+1.000e+00,-2.000e+00
2.100,+3.278e-07,+1.000e+00,-2.000e+00
2.125,+3.278e-07,+1.000e+00,-2.000e+00
2.150,+3.278e-07,+1.000e+00,-2.000e+00
2.175,+3.278e-07,+1.000e+00,-2.000e+00
2.200,+3.278e-07,+1.000e+00,-2.000e+00
2.225,+3.278e-07,+1.000e+00,-2.000e+00
2.250,+3.278e-07,+1.000e+00,-2.000e+00
2.275,+3.278e-07,+1.000e+00,-2.000e+00
2.300,+3.278e-07,+1.000e+00,-2.000e+00
2.325,+3.278e-07,+1.000e+00,-2.000e+00
2.350,+3.278e-07,+1.000e+00,-2.000e+00
2.375,+3.278e-07,+1.000e+00,-2.000e+00
2.400,+3.278e-07,+1.000e+00,-2.000e+00
2.425,+3.278e-07,+1.000e+00,-2.000e+00
2.450,+3.278e-07,+1.000e+00,-2.000e+00
2.475,+3.278e-07,+1.000e+00,-2.000e+00
2.500,+3.278e-07,+1.000e+00,-2.000e+00
2.525,+3.278e-07,+1.000e+00,-2.000e+00
2.550,+3.278e-07,+1.000e+00,-2.000e+00
2.575,+3.278e-07,+1.000e+00,-2.000e+00
2.600,+3.278e-07,+1.000e+00,-2.000e+00
2.625,+3.278e-07,+1.000e+00,-2.000e+00
2.650,+3.278e-07,+1.000e+00,-2.000e+00
2.675,+3.278e-07,+1.000e+00,-2.000e+00
2.700,+3.278e-07,+1.000e+00,-2.000e+00
2.725,+3.278e-07,+1.000e+00,-2.000e+00
2.750,+3.278e-07,+1.000e+00,-2.000e+00
2.775,+3.278e-07,+1.000e+00,-2.000e+00
2.800,+3.278e-07,+1.000e+00,-2.000e+00
2.825,+3.278e-07,+1.000e+00,-2.000e+00
2.850,+3.278e-07,+1.000e+00,-2.000e+00
2.875,+3.278e-07,+1.000e+00,-2.000e+00
2.900,+3.278e-07,+1.000e+00,-2.000e+00
2.925,+3.278e-07,+1.000e+00,-2.000e+00
2.950,+3.278e-07,+1.000e+00,-2.000e+00
2.975,+3.278e-07,+1.000e+00,-2.000e+00
3.000,+3.278e-07,+1.000e+00,-2.000e+00
3.025,+3.278e-07,+1.000e+00,-2.000e+00
3.050,+3.278e-07,+1.000e+00,-2.000e+00
3.075,+3.278e-07,+1.000e+00,-2.000e+00
3.100,+3.278e-07,+1.000e+00,-2.000e+00
3.125,+3.278e-07,+1.000e+00,-2.000e+00
3.150,+3.278e-07,+1.000e+00,-2.000e+00
3.175,+3.278e-07,+1.000e+00,-2.000e+00
3.200,+3.278e-07,+1.000e+00,-2.000e+00
